username,description,location,following,followers,totaltweets,retweetcount,text,target,hashtags,actual_time
saanish_kumara,"Love make me Good human being..
காற்றில் பறக்கும் காகிதம் நான்...
காதல் என்னும் வரிகள் மூலம்  புத்தகமாக  மூலம் அடைப்பட்டேன்...","chennai,tamilan,indian.",944,119,802,27,"Parts of #Chennai coming under some fairly heavy spell of #Rains, we could see #thunderstorms develop as the rain clouds move across the land.  Slow moving storms so the rains could be very heavy in one or two places. #COMK #ChennaiRains. #ChennaiRains2021 https://t.co/T7APb3X6ez",1,"['Chennai', 'Rains', 'thunderstorms']",2021-12-31 07:53:00+00:00
VinodKManohar,"Data enthusiast | History, Science, Politics & Movies",,413,325,41695,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-01 13:23:39+00:00
Praveen261891,if I was a writer I'd have a better Twitter 🐦🐦 bio quote........ ☺,some where on earth.......,93,3,97,0,"If it floods everytime it rains, Then the rain is not the problem.  Says @madan3
#Chennai #chennairains #Flooding #TamilNaduRains #ChennaiRains2021 
@CMOTamilnadu",1,"['Chennai', 'chennairains', 'Flooding', 'TamilNaduRains', 'ChennaiRains2021']",2021-12-31 08:28:22+00:00
nmvraajulu,Belief in Humanity. Ex Kevian.,Chennai,1142,120,5523,33,Next batch of #Rains moving in over parts of #Chennai &amp; suburbs. Heavy rains in a few places. Spell of rains could last for about 30 minutes or so. Further #Comk updates as things evolve. Please stay at home unless there's an absolute need to go out. #ChennaiRains2021 https://t.co/N64y66lXOE,1,"['Rains', 'Chennai']",2021-12-31 13:30:17+00:00
mavis_siva,"Vijay veriyan 😎 cinema lover 😍
Sachin fan Mumbai indians","Thoothukkudi, India",145,508,24022,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:50:53+00:00
veelee23,ஏ கே ரசிகன்,"Salem, India",213,93,18180,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 14:05:00+00:00
Selwyyyyn,"keen Weather Tracker, Biased towards Tropics!!!","Chennai,IND",524,3021,1394,3,Lot of developments seen happening for last few hours along #Chennai  &amp; adj coastline. Rains occuring on &amp; off with varying intensity   sat image courtesy: @IMDWeather https://t.co/I2s8VbcurK,1,['Chennai'],2021-12-31 10:52:48+00:00
nihagoutham,11-10-1990,chennai,2103,445,34632,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 14:56:10+00:00
Ruthish51825808,cine love,,182,48,15192,61,"CRAZY, UNEXPECTED, really heavy rains in #Chennai from noon today! Many roads &amp; areas are a mess.

UNFORGETTABLE Dec 30th, for many reasons!",1,['Chennai'],2021-12-31 12:27:18+00:00
BrandKaustubh,,,329,381,18817,154,"Heavy rains in #TamilNadu cause 3 deaths, parts of #Chennai waterlogged 

#ChennaiRain #ChennaiRains2021 #chennaifloods

https://t.co/7V5nWkOKes #latest_news",1,"['TamilNadu', 'Chennai', 'ChennaiRain', 'ChennaiRains2021']",2021-12-31 09:08:37+00:00
GangaShodh,"What's in the name ~ Ganga ?

Reverse-engineering to showcase the hard-facts so they cannot be disputed anymore, while #IITs & #NITs may refer with credit 🇮🇳","Gangotri, India",13,12,1775,15,"#Chennai rains: Heavy rainfall warning in four #TamilNadu districts
#ITVideo #chennairains #rains https://t.co/GpOgayd16x",1,"['Chennai', 'TamilNadu', 'ITVideo', 'chennairains', 'rains']",2021-12-31 09:17:57+00:00
link2selva,** consultant - security**.,"Bengaluru South, India",1244,1333,13353,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:21:46+00:00
TrichyAnnan,Thalapathy @actorvijay Veriyan🔥|Ms.Dhoni😍|CSK😘|FC Goa 😚|Wwe John Cena💪,Trichy,5009,1837,100709,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:24:59+00:00
ManojkumarMK_96,#...✌✌️Lifē is Short 😍😍Keēp Smilē 😁😁And alwāYs Spreād HappinēSs...✌✌ThāLa _VeriYaN...😎🤙Vijay_ SeThuPāThy_ RasïGaN...🤞எண்ணம்_போல்_வாழ்க்கை...❤️ STR ❤️💯🤙,"Tamil Nadu, India",2075,259,32805,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:43:55+00:00
TheAmeyMishra,,,494,489,18787,154,"Heavy rains in #TamilNadu cause 3 deaths, parts of #Chennai waterlogged 

#ChennaiRain #ChennaiRains2021 #chennaifloods

https://t.co/7V5nWkOKes #latest_news",1,"['TamilNadu', 'Chennai', 'ChennaiRain', 'ChennaiRains2021']",2021-12-31 09:21:23+00:00
mersal_sakthi03,"💟𝑫𝒊𝒆 𝒉𝒂𝒓𝒅 𝒗𝒊𝒋𝒂𝒚 𝒇𝒂𝒏❤️

 |Designer💐 |Editor🎬📽️",Vellore-Tamilnadu,344,561,4073,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:21:20+00:00
yogendhar18,,,520,16,539,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:19:23+00:00
Mohamed23152390,"Thalapathy and Yuvan veriyan,Nature Lover,Music Addict.",,10,13,2015,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2022-01-01 02:49:29+00:00
Arunbala7861,"Die hard Thala Ajithkumar fan❤💪🙋‍♂️🕴
Manchester United⚽️🥅🖤
Opinions does not define you🖤🔥
vijay fans aka anils🐿 graveyard",Singapore,331,244,48473,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:56:50+00:00
stanmahirat,"|| जदमाहीराट || 🥺❤
Indian Cricket Team is my escape 💙⚡
@ChennaiIPL 💛",stargazing,230,207,21079,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:33:36+00:00
yuvanlogan226,"Stylo Yuvan😎
A Die Hard Fan Of Sivakarthikeyan anna❤❤",,253,108,22760,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:44:52+00:00
T_S_Bharadwaj,🇮🇳🇮🇳🇮🇳कड़वी सच्चाई🚩🙏🚩देश भक्त🇮🇳🇮🇳🇮🇳,,300,392,19908,154,"Heavy rains in #TamilNadu cause 3 deaths, parts of #Chennai waterlogged 

#ChennaiRain #ChennaiRains2021 #chennaifloods

https://t.co/7V5nWkOKes #latest_news",1,"['TamilNadu', 'Chennai', 'ChennaiRain', 'ChennaiRains2021']",2021-12-31 16:08:15+00:00
RamSudar5,proud Hindu nationalist belongs to Bharat 🇮🇳🇮🇳 JAI HIND,Bharat,874,499,201789,33,Next batch of #Rains moving in over parts of #Chennai &amp; suburbs. Heavy rains in a few places. Spell of rains could last for about 30 minutes or so. Further #Comk updates as things evolve. Please stay at home unless there's an absolute need to go out. #ChennaiRains2021 https://t.co/N64y66lXOE,1,"['Rains', 'Chennai']",2021-12-31 11:41:45+00:00
buyazed288,,,61,1616,772418,2,"#ChennaiRain | #Chennai wakes up to waterlogged streets following heavy rains on Thursday; over 200 mm rainfall recorded in northern parts of the city, says IMD.

More updates here.

#tamilnadu #TamilNaduRains

https://t.co/BlmfR7IdzO",1,"['ChennaiRain', 'Chennai']",2021-12-31 13:32:01+00:00
makay22360012,"Tamilan😄Thala,STR,Bunny fan😍RCBian,Viratian😘Briyani n Pespsi Addictor😂Morattu Single👊Did Engg So Obviously VIP😜live n let live😄Tis is Me am#Makay",,45,226,49112,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:11:29+00:00
muralififaa,Live and Let Live ♥️,"Karur, India",734,174,15990,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:18:59+00:00
mrkandasamy,Farmer I Professor I Ecology Activist I Belongs to the Dravidian Stock,"Tamil Nadu,Union of India ",4877,2841,12369,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-01 09:50:22+00:00
VagariesWeather,"Latest weather updates from the official Twitter account for Vagaries of the Weather, pioneers of weather blogging in India.","Mumbai, India",35,4159,2550,2,"Detailed analysis of #NorthEastMonsoon (#NEM ) at a glance! 

Data Credits:IMD

Keep visiting: https://t.co/IuHTSwspkf for more such detailed analysis in future!

#Kerala #TamilNadu #AndhraPradesh #Andaman  #Chennai  #chennairains2021 #Kochi #Puducherry #monsoon #rains https://t.co/Wu0iDxrQqd",1,"['NorthEastMonsoon', 'NEM', 'Kerala', 'TamilNadu', 'AndhraPradesh', 'Andaman', 'Chennai', 'chennairains2021', 'Kochi', 'Puducherry', 'monsoon', 'rains']",2022-01-04 05:29:28+00:00
rajapush,,,398,180,63227,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2022-01-01 06:23:08+00:00
Mr_RAK20,சுயநலவாதி...,கனவு❣️,189,225,93060,106,Thousands of people throng the Chennai Metro Rail stations to avoid traffic and rains and reach home. Location : Madras High court Metro station  #Chennai #Chennaiametro #Chennairains https://t.co/ghAMVPm0f8,0,[],2021-12-31 17:11:54+00:00
BKowzshek18,Enjoy every day❣️,"Madurai South, India",412,5,640,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 20:31:39+00:00
dingdingpb,Proud🚘engineer|Nationalist|Hindu|Tamizhan|நெசவாளன்🧵|செங்குந்தன்,கச்சியம்பதி,3110,2633,324631,9,"Choodamani Pradanam that most of us missed on 30th due to intense rains being restaged again. Thanks to Kalakshetra for it. How can we miss it ? 😍
#classicalarts #decemberseason #chennai #heritage #culture https://t.co/I3NVK1QkqA",0,[],2022-01-03 15:25:47+00:00
MohitCh84470423,spirituality leads u to discover yourself..😇😇,,1830,70,18763,9,"#TamilNadu CM MK Stalin has written to #AmitShah stating that the Indian Meteorological Centre failed to alert the state government about the heavy rains that lashed #Chennai on Thursday.
(@Akshayanath )
https://t.co/S6MVmBdRhP",0,"['TamilNadu', 'AmitShah']",2022-01-01 14:10:28+00:00
ketto,"Asia's Most Trusted #Crowdfunding Platform where you can raise funds at 0% fee for personal, charitable & medical causes. Call now: 9930088522",India,1574,50068,32107,10,"Jinnah, a bank manager in #Chennai, helped make way for 3 #ambulances that were stuck in a traffic jam amid heavy rains. He parked his two-wheeler and walked for 4 kilometres to ensure that the emergency medical vehicles reached the hospital on time.

#Hero https://t.co/omqyaG6Ntb",0,"['Chennai', 'ambulances', 'Hero']",2022-01-03 09:00:00+00:00
Priyanka_one,Limitless  https://t.co/5xW7wJojDX,World 🌎,85,1096,14828,2,"Tamil Nadu Rains: Red Warning in Chennai, 3 other regions; 3 died
#Chennai #ChennaiRain
https://t.co/SUk9tIaVhs",1,"['Chennai', 'ChennaiRain']",2022-01-04 06:17:42+00:00
venkate90688409,,"Chennai, India",657,99,6177,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:49:25+00:00
thisisvaib,"Medico🚑🏩💉💊
Thala Fan💪😎
Aspirant Traveller✈️
Photo Freak📸💻
U1🎧🔥
Biriyani🍛 is my Obsession😋","Manila City, National Capital ",247,100,4580,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2022-01-01 06:49:46+00:00
KarthikPonnusa8,One love,"Bodinayakanur, India",501,53,2641,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-01 12:19:29+00:00
JEKKA_S18,"Thalapathy Veriyan @actorvijay Fan of @imVkohli Darling @AthulyaOfficial  தமிழன் ❤️
Proud Of INDIAN

 👉 👉உழைத்திடு!!🔥 👍👍உயர்ந்திடு!! உன்னால் முடியும்!!👈👈",THALAPATHY,4976,3698,51724,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 11:16:18+00:00
PTTVEnglish,News I Analysis I Breaking News I From the states I India I Perspective,"Chennai, India",11,95881,1776,0,"https://t.co/vKvNpvLvXV

Why did IMD fail to predict Chennai's heavy rains?

#Chennai",0,['Chennai'],2022-01-03 05:06:51+00:00
Pradeep_15A,,,23,6,24,0,@madan3 If it rains in Chennai... Then In Bangalore it rains..... Rain is not the problem 😂 #Chennai,0,['Chennai'],2021-12-31 13:18:55+00:00
Ramvignesh490,,Chennai,461,137,100993,1,"Crazy rains hit #Chennai making a memorable year-end. Rains has begun in South #Chennai will cover the city in upcoming hours. 

More areas surrounding coastals will be covered as easterlies penetrate far inland. Heavy rains have also started in Pondy-delta area.

#ChennaiRains",1,"['Chennai', 'Chennai']",2021-12-31 10:49:59+00:00
NaveenK63526343,Believe yourself 💪,,19,21,10683,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:11:17+00:00
Dheeran_R,,,75,3,2,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 20:53:49+00:00
Ramvignesh490,,Chennai,461,137,100993,3,"Rains continued to lash #Chennai on Friday, as several parts of the city remained water-logged
Scenes in K.K. Nagar and Pudupet
#chennairains #ChennaiRains2021 
Photos: M. Vedhan, K. Pichumani/The Hindu https://t.co/w1MK9zfx9U",1,['Chennai'],2021-12-31 11:00:47+00:00
SkSakthivel11,"Today I am a single person, But tomorrow I am....ect",Madurai,1550,60,2066,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:27:51+00:00
nedunseliian,,"Velacheri, Chennai",209,156,17636,106,Thousands of people throng the Chennai Metro Rail stations to avoid traffic and rains and reach home. Location : Madras High court Metro station  #Chennai #Chennaiametro #Chennairains https://t.co/ghAMVPm0f8,0,[],2021-12-31 12:26:33+00:00
SWATSERPENT,,,36,1,7,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:44:07+00:00
vishvan__,GGMU | Hypophrenia 👀👣,"Selangor, Malaysia",124,124,9525,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:37:04+00:00
shadowshader1,"#THALAPATHYANNA
#தளபதிரசிகன்❤️


                  Hitman forever 45🔥
#kamalism⚡",,73,52,7388,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:59:37+00:00
Siddhar94206317,hahahaa,,97,15,61,6,"Preserving wetlands is crucial for #Chennai to stay above water during rains and cyclones

 Chennai is only 6.7 metres above sea level and more often than not, large areas of the city are quickly flooded after a shower. https://t.co/jbwgdUNkkM 

By Nina Varghese",1,['Chennai'],2022-01-03 03:32:09+00:00
mohamedkhalid06,Talk less Work More! #instagram :mk_khalid,"Chennai, India",110,12,110,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:18:04+00:00
bhagawadpada,Its our duty to oppose fake media and anti Hindu paid media they should be exposed. We are Hindus don't teach us freedom or secularism it was our philosophy,,2391,533,6228,0,"So far #Tamilnadu is ruled by fraud #DMK #AIDMK, #Chennai life will become nightmares.The city cannot even withstand one day heavy rains because there is no proper drainage system or storm water drainage with permanent pumping stations.#ChennaiRains2021  https://t.co/Lj18YbEJ5z",0,"['Tamilnadu', 'DMK', 'AIDMK', 'Chennai', 'ChennaiRains2021']",2022-01-01 05:32:33+00:00
Ruben_2911,"Part of the journey is the end
#EllapugazhumIraivanukke","Selangor, Malaysia",221,42,1025,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:58:09+00:00
premchander07,"SRite!!Chartered Accountant!!
Barca😍 Messi😍","Perundurai, India",537,63,485,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:12:15+00:00
innocent__rowdy,"🔥Fan boy of @actorvijay🔥 Waiting for BEAST  🔥Sam Addiction 🔥crush 
@akash_megha  @divyabarti2801","Tirunelveli, India",180,322,6108,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:39:14+00:00
BlackyBarani,"Black boy🖤 with gud heart 💖
Admired by Dhoni✨7️⃣
Seasoned by Gud thoughts 💯😊",,47,0,17,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:35:08+00:00
NammaTamilnadu_,News and Updates from Tamilnadu. தமிழ்நாட்டை பற்றிய அனைத்து தகவல் மற்றும் செய்திகள். #news #sports #cinema Human + bot combination. RT #tamil #tn #tamilnadu,"Tamil Nadu, India",0,30,1137,2,Next time if it rains &amp; gets flooded people in Chennai go get a Land Rover Defender .. costs only 1.22 crore. #DMK #chennai #SaveChennai #TamilNadu https://t.co/tbYxwyHPVZ,0,['DMK'],2022-01-04 22:00:02+00:00
Thinaharan16,.....,,63,3,1605,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:22:24+00:00
Satoshian2,"Watch, Pray, Discern & Endure",North America,76,493,10138,2,"Heavy Rain &amp; Severe flooding hits India’s #Chennai 

▪️Heavy spell of rains lashed several parts of Chennai throwing life out gear within hours.

#TamilNadu #India #ChennaiRains 📹@NovinstonLobo https://t.co/3mPbLlQ3mm",1,['Chennai'],2022-01-01 19:38:05+00:00
Mahipal50234340,,,213,24,6212,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:08:33+00:00
Vinoth182436081,Ak♥️,,745,226,17313,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:22:43+00:00
Mee_Sumanth,#TDPtwitter #MemberofCTF,"Chennai, India",448,243,20895,3,"Actually I was worried about rains at #Centurion which may affect India's win against south Africa.. #INDvSA
But it affected my plans here😭
Worst traffic..
#Chennai
#chennairains #ChennaiRain",0,"['Centurion', 'INDvSA']",2021-12-31 14:11:27+00:00
Mani_Jpm,Thalla Ajith fan,,1213,520,1630,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 11:11:50+00:00
vikramvenkat6,#cricketfan,,797,51,4462,10,"Jinnah, a bank manager in #Chennai, helped make way for 3 #ambulances that were stuck in a traffic jam amid heavy rains. He parked his two-wheeler and walked for 4 kilometres to ensure that the emergency medical vehicles reached the hospital on time.

#Hero https://t.co/omqyaG6Ntb",0,"['Chennai', 'ambulances']",2022-01-03 09:06:30+00:00
RAM_from_INDIA,"IT Professional, Movie enthusiast , Interested in Politics and Economy


You can take an INDIAN out of INDIA but you cannot take INDIA out of an INDIAN",Dubai,554,43,5978,2,"As of noon, 271 locations in the city continue to be inundated with Royapuram, Thiru Vi ka nagar and Kodambakkam reporting more than 40 locations. #chennai #rains #waterinundation #waterstagnation #flooding",1,[],2021-12-31 08:57:50+00:00
srini_pit21,,Chennai,459,26,6988,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 11:31:52+00:00
Karthik11630055,,,93,115,28175,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2022-01-02 09:10:20+00:00
sakthims07,"born at April 4 2k1
lives in erode
Graduate in Nandha Arts and Science college.
Carefree Man
💫Stop saving Money 💰 Start saving memories ✨",,186,52,2820,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:26:28+00:00
wavehit,A Student of Mrs.Hilda Raja;a teacher/Social worker[F&CW]/HandiCraft enthusiast-who has to air her opinion on most things around her.,Camel's Back,2190,1685,376609,100,"Thousands of people throng the Chennai Metro Rail stations to avoid traffic and rains and reach home. Trains are running packed @THChennai #Chennai #Chennaiametro #Chennairains

Video credit: @rsujatha_30 https://t.co/z6zb06DjmF",0,[],2021-12-31 08:24:29+00:00
JPsingh12,CoE @catalyst4jobs || India Govt's Mentor of Change 🌐 Consultant #SCERT Raipur 🇮🇳 Human SearchEngine @HumanGoogleBaba ❤️  #Multilingualism SumAllYogi #LT4All,Nepal/ Durg,1039,1490,17687,15,"#Chennai rains: Heavy rainfall warning in four #TamilNadu districts
#ITVideo #chennairains #rains https://t.co/GpOgayd16x",1,"['Chennai', 'TamilNadu', 'ITVideo', 'chennairains', 'rains']",2021-12-31 09:00:21+00:00
Logeshbagavathi,"Anjuvathum adipanivathum 
THALA AJITH oruvaruku mattume 😎😎
THALA THALA THALA 🔥🔥",,224,108,6514,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 08:07:28+00:00
UdhayJackson6,just,,171,7,1407,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2022-01-01 03:49:50+00:00
SanjayS64884388,learn,,77,13,33,5,"#Chennai Rains | Red alert issued in four districts in view of heavy rainfall; three people have died due to electrocution.

Waterlogging creates trouble for the people.

Shabbir with the latest inputs from the ground. https://t.co/aazRfr5qlY",1,['Chennai'],2021-12-31 07:48:19+00:00
loki_ed8,"Loki Stan!! 😜😜

Thalapathy Vijay forever!! 😍😍😍

Loneliness is sad ... Aloneness is bliss !! 🛀",,158,93,10151,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:44:06+00:00
UiTV_Connect,"Trust 🌐UiTV - Follow Us, Make Sure You Read the #RightContent & #LatestNews, https://t.co/4f0mASJJie… Informed & Not Misinformed.","London, England",887,1206,19815,1,"https://t.co/zm9Qy5p7Lr
Heavy rains lash Chennai, three dead
#Heavyrains #Chennai #Chennaiflood #TamilNadu #DisasterManagement #ministers https://t.co/1fqGMDHK7G",0,"['Heavyrains', 'Chennai', 'Chennaiflood', 'TamilNadu', 'DisasterManagement', 'ministers']",2021-12-31 15:28:03+00:00
AYASKANTMAHAPA1,"A proud Indian. A proud Odia. A proud Hindu Civilisational Nationalist.
Jai Hind
Jai Sri Ram
Jai Jagannath
Visit the below website for accurate info on Hinduism",,558,121,29947,9,"Choodamani Pradanam that most of us missed on 30th due to intense rains being restaged again. Thanks to Kalakshetra for it. How can we miss it ? 😍
#classicalarts #decemberseason #chennai #heritage #culture https://t.co/I3NVK1QkqA",0,[],2022-01-03 17:39:53+00:00
vasi_gara_hari,@rajinikanth|@actorvijay|@VishalKOfficial 📽|@gvprakash 🎹|@sachin_rt 🏏|#Life Is Beautiful✨|#Everything in Life Is Luck🎁,Tamilnadu,2037,516,130948,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 07:52:16+00:00
sharma_sandeep,PR & content; Chelsea; Mumbai Indians; anti-gravitas; (v). Twitter is a junkyard.,Mumbai,1276,1300,4712,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 15:27:32+00:00
rohannjr,"KKR, ICT 🇮🇳, also respect other teams, Barca, Inter Milan, Leicester City, Messi, Neymar, peace, no racism, netflix, RT 🚫 endorsements",India,285,165,6783,2,Concerned for everyone in #Chennai. IMD is predicting more rains. Hope it doesn't happen. People have already suffered a lot . Take care and #StaySafe !,0,['Chennai'],2021-12-31 11:09:53+00:00
GokulG07,#mylife,,178,32,6612,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 14:33:52+00:00
Jeevana02921881,Software Engineer...,,952,41,7872,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:25:20+00:00
Tamilviralz,nothing else,,572,565,8891,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:43:16+00:00
Jenila95269387,"Human, நேர்மை விரும்பி,","Kanniyakumari, India",516,466,18233,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 21:02:10+00:00
indiacom,"Follow https://t.co/nmmdlsOpds for breaking news from India and around the world, live cricket updates, Bollywood gossip, travel tips and latest trends.",India,728,22904,235746,1,"#TamilNaduRains: Red Alert In #Chennai ; IMD Predicts Heavy Rainfall In TN, Puducherry For Next 5 Days

#chennairains #ChennaiRain #ChennaiRains2021 #Puducherry

https://t.co/bNoQgmloZB",1,"['TamilNaduRains', 'Chennai', 'chennairains', 'ChennaiRain', 'ChennaiRains2021', 'Puducherry']",2021-12-31 09:06:09+00:00
SuryaPr90104150,,,432,31,11625,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 09:59:23+00:00
bforbhaki,🖤💙❤️,வடலூர்,1461,1572,98983,26,"Within days of the receipt of this letter, the Chennai office of IMD says that it does not have the technology to foresee the recent rains. The minister should take note of this. #Chennai #Rain #Flood #People",0,[],2022-01-02 03:13:32+00:00
Theniprakashhh,"Ardent fan of THALAPATHY
Thalapathy Veriyan
Kill Them With Your Success;
Bury Them With Your Smile..",,222,178,43055,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 11:38:44+00:00
JimmyGodatha007,,,63,33,1115,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:06:29+00:00
ians_india,India's largest independent News Agency,New Delhi,45,71265,313397,0,"Two days after extremely heavy rains threw life out of gear in #Chennai and several areas in surrounding districts, the @Indiametdept's radars are in the eye of the storm that has the potential to become state-Centre spat. https://t.co/h9ivQj7S7o",1,['Chennai'],2022-01-01 16:00:43+00:00
MelvinJ47411905,💫✨எண்ணம் போல் வாழ்க்கை✨💫,,59,7,1430,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 10:20:38+00:00
saicharan9985,,"Ongole, India",558,90,3086,10,"Jinnah, a bank manager in #Chennai, helped make way for 3 #ambulances that were stuck in a traffic jam amid heavy rains. He parked his two-wheeler and walked for 4 kilometres to ensure that the emergency medical vehicles reached the hospital on time.

#Hero https://t.co/omqyaG6Ntb",0,"['Chennai', 'ambulances']",2022-01-03 13:45:13+00:00
Varun8Vijay,"Aiming to become erudite and polymath. #LogicalHolism. My Gurus: Taleb, Yuval Harari, Devdutt Pattanaik, Malcolm Gladwell, Viktor Frankl and Robert Greene",Bangalore,588,50,201696,4,"Heavy #rains in #Chennai led to three human deaths due to #electrocution and four subways were shut down on Thursday. 

https://t.co/WKzticRVmI",1,"['rains', 'Chennai', 'electrocution']",2021-12-31 09:50:39+00:00
DhoniVi46468915,,,72,1,106,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 16:05:12+00:00
the_hindu,News feeds from India's National Newspaper,"Chennai, India",211,7418099,417476,6,"On Thursday night, following heavy #rains received in #Chennai all evening, 2,000 cusecs of water was discharged from the Chembarambakkam reservoir 
#chennairains #ChennaiRains2021 
Video: Velankanni Raj. B /The Hindu https://t.co/oERlDSY74f",1,"['rains', 'Chennai']",2021-12-31 08:27:15+00:00
urs_parani,Angry bird | Irritable | Unrated empty Pocket,"Coimbatore, India",23,73,18903,8,"Rain bands focusing over South of #Chennai
 #Mahabalipuram to #Pondy stretch and parts of #Delta surrounding seeing rains. #Chennai and suburbs can expect rains towards evening -night. This rain event will end by Sunday or early Monday. https://t.co/J3TEnLjP30",1,"['Chennai', 'Mahabalipuram', 'Pondy', 'Delta']",2021-12-31 09:21:42+00:00
velarjun526,Hunting dreams,"Chennai, India",525,26,503,605,"If it floods everytime it rains, Then the rain is not the problem. #Chennai",1,['Chennai'],2021-12-31 12:15:42+00:00
